时间 Time(s),目标纬度 t_loc_lat(deg),目标经度 t_loc_lon(deg),目标高度 t_loc_alt(m),目标北向 t_loc_G_N(m),目标天向 t_loc_G_U(m),目标东向 t_loc_G_E(m),目北速反算 t_vel_G_N(m),目天速反算 t_vel_G_U(m),目东速反算 t_vel_G_E(m),目标北速 t_vel_G_N(m),目标天速 t_vel_G_U(m),目标东速 t_vel_G_E(m),导弹纬度 m_loc_lat(deg),导弹经度 m_loc_lon(deg),导弹高度 m_loc_alt(m),导弹北向 m_loc_G_N(m),导弹天向 m_loc_G_U(m),导弹东向 m_loc_G_E(m),俯仰角 m_theta(deg),弹道倾角 m_gamma(deg),攻角 m_alpha(deg),偏航角 m_psi(deg),弹道偏角 m_psis(deg),侧滑角 m_beta(deg),升力 lift_force(N),阻力 drag_force(N),侧力 side_force(N),相对北向 rel_loc_N(m),相对天向 rel_loc_U(m),相对东向 rel_loc_E(m),北向速度 m_vel_N_N(m/s),天向速度 m_vel_N_U(m/s),东向速度 m_vel_N_E(m/s),地系速 m_vel_G_s(m/s),导系速 m_vel_N_s(m/s),弹目距 mt_dist(m),质量 m_mass(kg),推力 m_thrust(N),方向舵 delta_r(deg),升降舵 delta_e(deg),法向过载 overload_N(-),视线角V lambda_v(deg),视线角速V lambda_v_dot(deg/s),视线角H lambda_h(deg),视线角速H lambda_h_dot(deg/s),制导阶段 guidance_phase(-),命中时间 impact_time_est(s),马赫数 m_mach(-)
0.01,20.401,120.05,32000,44589.3,32000.1,5222.95,49.9988,10,-150.387,50,10,-150,20,120,19000,2.50874,19000,0.501749,0.674166,0.674166,0,-11.3099,-11.3099,1.19967e-05,0,34.3109,-0,44588.8,13000,5224.45,250.874,2.91239,50.1749,254.969,255.859,46738.2,158,14125.5,0.45,0,0,16.1495,0.0839104,-6.68285,0.206496,1,-1,0.864176
0.02,20.401,120.05,32000,44589.8,32000.2,5221.44,49.9988,10,-150.387,50,10,-150,20,120,19000.1,5.02623,19000.1,1.00525,0.674179,0.6522,0.0219786,-11.3099,-11.3099,3.2903e-05,0,34.5508,-0.000114664,44586.3,13000,5223.95,251.748,2.82478,50.3497,255.859,256.749,46735.7,157.982,14113.9,0.333391,0.45,8.55183e-06,16.1495,0.0843245,-6.68285,0.206592,1,-1,0.867195
0.03,20.401,120.05,32000,44590.3,32000.3,5219.94,49.9988,10,-150.387,50,10,-150,20.0001,120,19000.1,7.55244,19000.1,1.51049,0.674215,0.630386,0.0438289,-11.3099,-11.3099,6.62121e-05,0.505145,34.7917,-0.000316676,44583.8,12999.9,5223.45,252.622,2.73719,50.5243,256.749,257.639,46733.2,157.964,14102.4,0.461406,0.9,0.000343153,16.1495,0.0847386,-6.68285,0.206688,1,-1,0.870212
0.04,20.401,120.05,32000,44590.8,32000.4,5218.44,49.9988,10,-150.387,50,10,-150,20.0001,120,19000.1,10.0874,19000.1,2.01748,0.674279,0.60873,0.0655491,-11.3098,-11.3099,0.000112281,1.01433,35.0334,-0.000641681,44581.2,12999.9,5222.94,253.494,2.64963,50.6988,257.639,258.528,46730.8,157.946,14090.9,0.472858,1.02954,0.000680506,16.1495,0.0851526,-6.68285,0.206784,1,-1,0.873227
0.05,20.401,120.05,32000,44591.3,32000.5,5216.93,49.9988,10,-150.387,50,10,-150,20.0001,120,19000.1,12.631,19000.1,2.52621,0.674377,0.587231,0.0871462,-11.3098,-11.3099,0.000172714,1.52748,35.2762,-0.00109566,44578.7,12999.9,5222.43,254.366,2.5621,50.8732,258.528,259.416,46728.3,157.928,14079.4,0.529707,1.21768,0.00102056,16.1495,0.0855664,-6.68285,0.20688,1,-1,0.87624
0.06,20.401,120.05,32000,44591.8,32000.6,5215.43,49.9988,10,-150.387,50,10,-150,20.0001,120,19000.2,15.1834,19000.2,3.03668,0.674512,0.565886,0.108626,-11.3097,-11.3099,0.000248412,2.04472,35.5199,-0.00169698,44576.2,12999.9,5221.92,255.237,2.47459,51.0475,259.416,260.304,46725.8,157.91,14067.9,0.560358,1.36332,0.00136342,16.1495,0.08598,-6.68285,0.206976,1,-1,0.879251
0.07,20.401,120.05,32000,44592.3,32000.7,5213.92,49.9988,10,-150.387,50,10,-150,20.0002,120,19000.2,17.7445,19000.2,3.5489,0.674688,0.544694,0.129994,-11.3096,-11.3099,0.000340459,2.56617,35.7646,-0.00245746,44573.6,12999.8,5221.41,256.108,2.38712,51.2216,260.304,261.191,46723.3,157.892,14056.4,0.597379,1.4981,0.00170913,16.1495,0.0863935,-6.68285,0.207072,1,-1,0.882259
0.08,20.401,120.05,32000,44592.8,32000.8,5212.42,49.9988,10,-150.387,50,10,-150,20.0002,120,19000.2,20.3143,19000.2,4.06286,0.674909,0.523654,0.151255,-11.3095,-11.3099,0.000449739,3.09191,36.0102,-0.00339104,44571.1,12999.8,5220.9,256.978,2.29967,51.3956,261.191,262.077,46720.8,157.873,14044.8,0.626789,1.61575,0.00205778,16.1495,0.0868069,-6.68285,0.207168,1,-1,0.885266
0.09,20.401,120.05,32000,44593.3,32000.9,5210.92,49.9988,10,-150.387,50,10,-150,20.0002,120,19000.2,22.8928,19000.2,4.57855,0.675178,0.502765,0.172414,-11.3094,-11.3099,0.000577122,3.62206,36.2568,-0.00450994,44568.5,12999.8,5220.38,257.848,2.21226,51.5695,262.077,262.963,46718.3,157.855,14033.3,0.65532,1.7204,0.00240943,16.1495,0.0872201,-6.68285,0.207263,1,-1,0.88827
0.1,20.401,120.05,32000,44593.8,32001,5209.41,49.9988,10,-150.387,50,10,-150,20.0002,120,19000.3,25.4799,19000.3,5.09598,0.675498,0.482024,0.193475,-11.3092,-11.3099,0.000723387,4.15669,36.5044,-0.00582649,44565.9,12999.8,5219.87,258.716,2.12487,51.7432,262.963,263.848,46715.7,157.837,14021.8,0.680412,1.81297,0.00276413,16.1495,0.0876332,-6.68285,0.207359,1,-1,0.891273
